report,1_similar,5_similars,10_similars
5.0,585.0,"[585.0, 286.0, 516.0, 291.0, 790.0]","[585.0, 286.0, 516.0, 291.0, 790.0, 446.0, 326.0, 869.0, 938.0, 351.0]"
8.0,585.0,"[585.0, 286.0, 516.0, 291.0, 446.0]","[585.0, 286.0, 516.0, 291.0, 446.0, 790.0, 326.0, 869.0, 351.0, 938.0]"
14.0,76.0,"[76.0, 649.0, 289.0, 876.0, 768.0]","[76.0, 649.0, 289.0, 876.0, 768.0, 9.0, 758.0, 908.0, 65.0, 239.0]"
15.0,76.0,"[76.0, 9.0, 65.0, 768.0, 475.0]","[76.0, 9.0, 65.0, 768.0, 475.0, 18.0, 305.0, 757.0, 948.0, 327.0]"
20.0,285.0,"[285.0, 25.0, 182.0, 29.0, 287.0]","[285.0, 25.0, 182.0, 29.0, 287.0, 401.0, 284.0, 535.0, 389.0, 581.0]"
23.0,41.0,"[41.0, 92.0, 103.0, 140.0, 104.0]","[41.0, 92.0, 103.0, 140.0, 104.0, 472.0, 96.0, 30.0, 134.0, 93.0]"
38.0,395.0,"[395.0, 94.0, 445.0, 736.0, 475.0]","[395.0, 94.0, 445.0, 736.0, 475.0, 105.0, 597.0, 49.0, 110.0, 341.0]"
43.0,41.0,"[41.0, 92.0, 103.0, 140.0, 104.0]","[41.0, 92.0, 103.0, 140.0, 104.0, 472.0, 96.0, 30.0, 134.0, 93.0]"
44.0,564.0,"[564.0, 532.0, 897.0, 708.0, 945.0]","[564.0, 532.0, 897.0, 708.0, 945.0, 341.0, 911.0, 422.0, 500.0, 294.0]"
45.0,102.0,"[102.0, 458.0, 315.0, 904.0, 555.0]","[102.0, 458.0, 315.0, 904.0, 555.0, 336.0, 722.0, 421.0, 711.0, 187.0]"
46.0,492.0,"[492.0, 168.0, 184.0, 254.0, 194.0]","[492.0, 168.0, 184.0, 254.0, 194.0, 290.0, 397.0, 708.0, 348.0, 897.0]"
50.0,32.0,"[32.0, 470.0, 716.0, 257.0, 644.0]","[32.0, 470.0, 716.0, 257.0, 644.0, 52.0, 35.0, 256.0, 461.0, 327.0]"
51.0,597.0,"[597.0, 209.0, 105.0, 623.0, 110.0]","[597.0, 209.0, 105.0, 623.0, 110.0, 827.0, 769.0, 452.0, 210.0, 705.0]"
57.0,110.0,"[110.0, 417.0, 105.0, 68.0, 452.0]","[110.0, 417.0, 105.0, 68.0, 452.0, 115.0, 505.0, 268.0, 209.0, 341.0]"
58.0,343.0,"[343.0, 155.0, 732.0, 716.0, 61.0]","[343.0, 155.0, 732.0, 716.0, 61.0, 256.0, 32.0, 257.0, 35.0, 203.0]"
66.0,22.0,"[22.0, 108.0, 60.0, 368.0, 122.0]","[22.0, 108.0, 60.0, 368.0, 122.0, 121.0, 522.0, 843.0, 940.0, 357.0]"
71.0,451.0,"[451.0, 866.0, 165.0, 769.0, 381.0]","[451.0, 866.0, 165.0, 769.0, 381.0, 290.0, 254.0, 91.0, 920.0, 897.0]"
73.0,433.0,"[433.0, 586.0, 430.0, 829.0, 246.0]","[433.0, 586.0, 430.0, 829.0, 246.0, 253.0, 167.0, 111.0, 237.0, 314.0]"
80.0,25.0,"[25.0, 285.0, 29.0, 19.0, 205.0]","[25.0, 285.0, 29.0, 19.0, 205.0, 581.0, 928.0, 535.0, 789.0, 571.0]"
86.0,773.0,"[773.0, 722.0, 551.0, 485.0, 175.0]","[773.0, 722.0, 551.0, 485.0, 175.0, 336.0, 904.0, 102.0, 929.0, 346.0]"
89.0,471.0,"[471.0, 495.0, 320.0, 383.0, 466.0]","[471.0, 495.0, 320.0, 383.0, 466.0, 474.0, 330.0, 481.0, 735.0, 70.0]"
106.0,209.0,"[209.0, 105.0, 452.0, 597.0, 110.0]","[209.0, 105.0, 452.0, 597.0, 110.0, 653.0, 914.0, 115.0, 735.0, 175.0]"
109.0,644.0,"[644.0, 221.0, 716.0, 35.0, 658.0]","[644.0, 221.0, 716.0, 35.0, 658.0, 256.0, 695.0, 395.0, 52.0, 257.0]"
119.0,147.0,"[147.0, 780.0, 622.0, 250.0, 508.0]","[147.0, 780.0, 622.0, 250.0, 508.0, 162.0, 452.0, 346.0, 275.0, 773.0]"
126.0,348.0,"[348.0, 499.0, 422.0, 397.0, 239.0]","[348.0, 499.0, 422.0, 397.0, 239.0, 692.0, 165.0, 909.0, 599.0, 91.0]"
127.0,502.0,"[502.0, 198.0, 692.0, 443.0, 651.0]","[502.0, 198.0, 692.0, 443.0, 651.0, 545.0, 239.0, 758.0, 53.0, 3.0]"
128.0,123.0,"[123.0, 181.0, 207.0, 296.0, 333.0]","[123.0, 181.0, 207.0, 296.0, 333.0, 809.0, 134.0, 291.0, 42.0, 513.0]"
130.0,934.0,"[934.0, 307.0, 133.0, 274.0, 593.0]","[934.0, 307.0, 133.0, 274.0, 593.0, 449.0, 47.0, 527.0, 144.0, 160.0]"
132.0,174.0,"[174.0, 378.0, 291.0, 869.0, 170.0]","[174.0, 378.0, 291.0, 869.0, 170.0, 4.0, 809.0, 183.0, 202.0, 181.0]"
135.0,285.0,"[285.0, 287.0, 581.0, 25.0, 401.0]","[285.0, 287.0, 581.0, 25.0, 401.0, 535.0, 29.0, 90.0, 406.0, 789.0]"
